temperature,energy
0.01,-0.984
0.02,-0.9832000000000001
0.03,-0.9864
0.04,-0.9839839999999999
0.05,-0.9871680000000002
0.06,-0.986864
0.07,-0.981664
0.08,-0.9801599999999999
0.09,-0.987408
0.1,-0.9841599999999999
0.11,-0.9812640000000001
0.12,-0.986
0.13,-0.981232
0.14,-0.9845919999999999
0.15,-0.9821760000000002
0.16,-0.9784639999999998
0.17,-0.9781759999999998
0.18,-0.9726880000000001
0.19,-0.9593919999999999
0.2,-0.9613919999999998
0.21,-0.9474560000000001
0.22,-0.934656
0.23,-0.9162719999999999
0.24,-0.89984
0.25,-0.87464
0.26,-0.8401120000000001
0.27,-0.8026719999999999
0.28,-0.7428639999999999
0.29,-0.6524
0.3,-0.6007200000000001
0.31,-0.5600959999999999
0.32,-0.52
0.33,-0.5047999999999999
0.34,-0.47774399999999995
0.35000000000000003,-0.4576160000000001
0.36,-0.43832000000000004
0.37,-0.41195200000000004
0.38,-0.4044479999999999
0.39,-0.38387200000000005
0.4,-0.37232
0.41000000000000003,-0.361408
0.42,-0.34694400000000003
0.43,-0.33436799999999994
0.44,-0.331616
0.45,-0.31896
0.46,-0.30740799999999996
0.47000000000000003,-0.30483200000000005
0.48,-0.295152
0.49,-0.286592
0.5,-0.27643199999999996
0.51,-0.27622399999999997
0.52,-0.263808
0.53,-0.2616
0.54,-0.252016
0.55,-0.252
0.56,-0.244896
0.5700000000000001,-0.239648
0.58,-0.23128
0.59,-0.228992
0.6,-0.22769600000000004
0.61,-0.22020800000000001
0.62,-0.21494399999999997
0.63,-0.21355200000000002
0.64,-0.20806400000000003
0.65,-0.202048
0.66,-0.2016
0.67,-0.20038399999999998
0.68,-0.192656
0.6900000000000001,-0.18918399999999996
0.7000000000000001,-0.18703999999999998
0.71,-0.18499200000000002
0.72,-0.17736
0.73,-0.177264
0.74,-0.17518399999999998
0.75,-0.17343999999999998
0.76,-0.17287999999999998
0.77,-0.168464
0.78,-0.166752
0.79,-0.16763199999999998
0.8,-0.16792
0.81,-0.160864
0.8200000000000001,-0.161472
0.8300000000000001,-0.155552
0.84,-0.156032
0.85,-0.15131199999999997
0.86,-0.15286400000000003
0.87,-0.147888
0.88,-0.14817600000000003
0.89,-0.149024
0.9,-0.14243200000000003
0.91,-0.141296
0.92,-0.14430400000000002
0.93,-0.14254399999999998
0.9400000000000001,-0.13257599999999997
0.9500000000000001,-0.137552
0.96,-0.137488
0.97,-0.132272
0.98,-0.13512
0.99,-0.12808
1.0,-0.12816
1.01,-0.12670399999999998
1.02,-0.124512
1.03,-0.125824
1.04,-0.12206399999999999
1.05,-0.122048
1.06,-0.116928
1.07,-0.12257599999999998
1.08,-0.11665600000000001
1.09,-0.11596799999999999
1.1,-0.11601600000000001
1.11,-0.11073599999999999
1.12,-0.11300800000000003
1.1300000000000001,-0.11361600000000001
1.1400000000000001,-0.11121600000000001
1.1500000000000001,-0.11273600000000002
1.16,-0.10964800000000001
1.17,-0.109008
1.18,-0.110704
1.19,-0.10603199999999999
1.2,-0.10948799999999999
1.21,-0.10281599999999999
1.22,-0.10324799999999998
1.23,-0.09937599999999999
1.24,-0.101792
1.25,-0.10180800000000001
1.26,-0.09663999999999999
1.27,-0.097088
1.28,-0.10020799999999999
1.29,-0.102624
1.3,-0.09878400000000001
1.31,-0.098384
1.32,-0.09905599999999999
1.33,-0.09537600000000002
1.34,-0.094384
1.35,-0.092976
1.36,-0.094016
1.37,-0.092512
1.3800000000000001,-0.090992
1.3900000000000001,-0.089888
1.4000000000000001,-0.093776
1.41,-0.090016
1.42,-0.08704
1.43,-0.08696
1.44,-0.089584
1.45,-0.087392
1.46,-0.08590400000000001
1.47,-0.08704
1.48,-0.08590400000000001
1.49,-0.085536
1.5,-0.08623999999999998
