difference,edges
25,0.0
24,0.0
23,0.0
22,6.0e-5
21,0.00026
20,0.0011
19,0.0037
18,0.01126
17,0.02244
16,0.04524
15,0.07256
14,0.09774
13,0.1121
12,0.11274
11,0.0962
10,0.07098
9,0.04434
8,0.02292
7,0.00984
6,0.0039
5,0.00302
4,0.00528
3,0.01744
2,0.0484
1,0.09678
0,0.1017
